text,label
治,O
区,O
级,O
自,O
然,O
保,O
护,O
区,O
地,O
理,O
位,O
置,O
、,O
面,O
积,O
和,O
四,O
至,O
界,O
线,O
描,O
述,O
》,O
（,O
附,O
件,O
1,O
）,O
，,O
保,O
护,O
区,O
地,O
理,O
位,O
置,O
与,O
范,O
围,O
示,O
意,O
图,O
详,O
见,O
《,O
广,O
西,O
那,O
林,O
自,O
治,O
区,O
级,O
自,O
然,O
保,O
护,O
区,O
面,O
积,O
和,O
界,O
线,O
确,O
定,O
范,O
围,O
图,O
》,O
（,O
附,O
件,O
2,O
）,O
，,O
保,O
护,O
区,O
范,O
围,O
、,O
四,O
至,O
界,O
线,O
以,O
该,O
图,O
为,O
准,O
，,O
文,O
字,O
描,O
述,O
作,O
为,O
参,O
考,O
。,O
二,O
、,O
请,O
你,O
局,O
指,O
导,O
玉,B_LOC
林,I_LOC
市,I_LOC
、,O
博,B_ORG
白,I_ORG
县,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
，,O
按,O
照,O
方,O
案,O
确,O
定,O
的,O
面,O
积,O
和,O
界,O
线,O
，,O
抓,O
紧,O
组,O
织,O
开,O
展,O
保,O
护,O
区,O
勘,O
界,O
立,O
标,O
工,O
作,O
，,O
标,O
明,O
区,O
界,O
，,O
并,O
向,O
社,O
会,O
公,O
告,O
。,O
要,O
尽,O
快,O
开,O
展,O
保,O
护,O
区,O
综,O
合,O
科,O
学,O
考,O
察,O
，,O
按,O
规,O
定,O
编,O
制,O
并,O
报,O
审,O
总,O
体,O
规,O
划,O
，,O
落,O
实,O
功,O
能,O
分,O
区,O
。,O
未,O
经,O
自,O
治,O
区,O
人,O
民,O
政,O
府,O
批,O
准,O
，,O
保,O
护,O
区,O
的,O
面,O
积,O
、,O
范,O
围,O
和,O
功,O
能,O
分,O
区,O
不,O
得,O
调,O
整,O
和,O
改,O
变,O
。,O
三,O
、,O
请,O
你,O
局,O
会,O
同,O
自,O
治,O
区,O
有,O
关,O
单,O
位,O
指,O
导,O
玉,B_LOC
林,I_LOC
市,I_LOC
、,O
博,B_ORG
白,I_ORG
县,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
，,O
严,O
格,O
执,O
行,O
《,B_PRO
中,I_PRO
华,I_PRO
人,I_PRO
民,I_PRO
共,I_PRO
和,I_PRO
国,I_PRO
自,I_PRO
然,I_PRO
保,I_PRO
护,I_PRO
区,I_PRO
条,I_PRO
例,I_PRO
》,I_PRO
等,O
有,O
关,O
法,O
律,O
法,O
规,O
，,O
认,O
真,O
落,O
实,O
国,O
家,O
关,O
于,O
做,O
好,O
自,O
然,O
保,O
护,O
区,O
管,O
理,O
工,O
作,O
的,O
有,O
关,O
规,O
定,O
，,O
切,O
实,O
加,O
强,O
对,O
自,O
然,O
保,O
护,O
区,O
工,O
作,O
的,O
领,O
导,O
、,O
协,O
调,O
和,O
监,O
督,O
，,O
明,O
确,O
保,O
护,O
区,O
管,O
理,O
机,O
构,O
、,O
人,O
员,O
编,O
制,O
，,O
保,O
障,O
工,O
作,O
经,O
费,O
，,O
建,O
立,O
健,O
全,O
相,O
关,O
制,O
度,O
，,O
不,O
断,O
提,O
高,O
保,O
护,O
区,O
建,O
设,O
管,O
理,O
水,O
平,O
。,O
四,O
、,O
请,O
你,O
局,O
会,O
同,O
自,O
治,O
区,O
有,O
关,O
单,O
位,O
指,O
导,O
玉,B_LOC
林,I_LOC
市,I_LOC
、,O
博,B_ORG
白,I_ORG
县,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
，,O
妥,O
善,O
处,O
理,O
好,O
保,O
护,O
区,O
建,O
设,O
管,O
理,O
与,O
当,O
地,O
经,O
济,O
社,O
会,O
发,O
展,O
、,O
群,O
众,O
生,O
产,O
生,O
活,O
的,O
关,O
系,O
，,O
确,O
保,O
社,O
会,O
和,O
谐,O
稳,O
定,O
。,O
在,O
保,O
护,O
区,O
核,O
心,O
区,O
、,O
缓,O
冲,O
区,O
内,O
不,O
得,O
进,O
行,O
任,O
何,O
生,O
产,O
建,O
设,O
和,O
经,O
济,O
开,O
发,O
活,O
动,O
。,O
在,O
保,O
护,O
区,O
实,O
验,O
区,O
内,O
的,O
旅,O
游,O
开,O
发,O
、,O
生,O
产,O
经,O
营,O
和,O
建,O
设,O
活,O
动,O
，,O
以,O
及,O
保,O
护,O
区,O
外,O
可,O
能,O
对,O
生,O
态,O
环,O
境,O
造,O
成,O
影,O
响,O
的,O
建,O
设,O
项,O
目,O
，,O
必,O
须,O
严,O
格,O
执,O
行,O
环,O
境,O
影,O
响,O
评,O
价,O
制,O
度,O
并,O
履,O
行,O
有,O
关,O
审,O
批,O
手,O
续,O
。,O
广,B_ORG
西,I_ORG
壮,I_ORG
族,I_ORG
自,I_ORG
治,I_ORG
区,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
2,B_T
0,I_T
1,I_T
9,I_T
年,I_T
4,I_T
月,I_T
2,I_T
4,I_T
日,I_T
附,O
件,O
1,O
广,B_LOC
西,I_LOC
那,I_LOC
林,I_LOC
自,I_LOC
治,I_LOC
区,I_LOC
级,O
自,O
然,O
保,O
护,O
区,O
地,O
理,O
位,O
置,O
、,O
面,O
积,O
和,O
四,O
至,O
界,O
线,O
描,O
述,O
一,O
、,O
保,O
护,O
区,O
地,O
理,O
位,O
置,O
和,O
面,O
积,O
确,O
界,O
后,O
，,O
保,O
护,O
区,O
地,O
理,O
坐,O
标,O
为,O
东,O
经,O
1,O
0,O
9,O
°,O
3,O
4,O
′,O
2,O
5,O
″,O
—,O
1,O
0,O
9,O
°,O
4,O
4,O
′,O
5,O
4,O
″,O
，,O
北,O
纬,O
2,O
2,O
°,O
1,O
0,O
′,O
0,O
0,O
″,O
—,O
2,O
2,O
°,O
1,O
9,O
′,O
1,O
3,O
″,O
，,O
保,O
护,O
区,O
位,O
于,O
玉,B_LOC
林,I_LOC
市,I_LOC
博,I_LOC
白,I_LOC
县,I_LOC
境,O
内,O
，,O
涉,O
及,O
博,B_LOC
白,I_LOC
县,I_LOC
那,I_LOC
林,I_LOC
镇,I_LOC
和,O
国,O
有,O
博,O
白,O
林,O
场,O
，,O
总,O
面,O
积,O
1,O
6,O
0,O
1,O
2,O
公,O
顷,O
，,O
其,O
中,O
，,O
集,O
体,O
土,O
地,O
1,O
5,O
9,O
3,O
4,O
公,O
顷,O
，,O
占,O
确,O
界,O
面,O
积,O
的,O
9,O
9,O
.,O
5,O
%,O
；,O
国,O
有,O
土,O
地,O
（,O
属,O
国,O
有,O
博,O
白,O
林,O
场,O
）,O
7,O
8,O
公,O
顷,O
，,O
占,O
确,O
界,O
面,O
积,O
的,O
0,O
.,O
5,O
%,O
。,O
二,O
、,O
保,O
护,O
区,O
四,O
至,O
界,O
线,O
北,O
起,O
6,O
7,O
6,O
.,O
5,O
高,O
程,O
点,O
（,O
五,O
方,O
顶,O
）,O
，,O
沿,O
山,O
脊,O
、,O
山,O
谷,O
向,O
南,O
过,O
4,O
4,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
4,O
0,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
0,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
2,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
0,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
1,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
3,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
3,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
9,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
4,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
8,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
7,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
7,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
4,O
6,O
8,O
.,O
8,O
高,O
程,O
点,O
、,O
2,O
9,O
6,O
.,O
9,O
高,O
程,O
点,O
、,O
3,O
6,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
2,O
3,O
.,O
1,O
高,O
程,O
点,O
（,O
大,O
岭,O
头,O
）,O
、,O
3,O
5,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
2,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
6,O
1,O
.,O
2,O
高,O
程,O
点,O
、,O
2,O
3,O
3,O
.,O
8,O
高,O
程,O
点,O
、,O
3,O
0,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
9,O
6,O
.,O
2,O
高,O
程,O
点,O
、,O
3,O
9,O
8,O
.,O
8,O
高,O
程,O
点,O
、,O
4,O
2,O
8,O
.,O
6,O
高,O
程,O
点,O
（,O
百,O
花,O
头,O
）,O
、,O
3,O
9,O
6,O
.,O
2,O
高,O
程,O
点,O
、,O
4,O
2,O
3,O
.,O
5,O
高,O
程,O
点,O
（,O
青,O
菜,O
头,O
）,O
、,O
3,O
5,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
9,O
8,O
.,O
9,O
高,O
程,O
点,O
、,O
4,O
4,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
0,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
1,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
4,O
7,O
.,O
5,O
高,O
程,O
点,O
（,O
马,O
安,O
头,O
）,O
、,O
5,O
6,O
9,O
.,O
1,O
高,O
程,O
点,O
、,O
5,O
1,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
9,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
2,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
8,O
6,O
.,O
2,O
高,O
程,O
点,O
、,O
5,O
8,O
6,O
.,O
1,O
高,O
程,O
点,O
、,O
6,O
2,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
9,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
5,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
4,O
4,O
.,O
4,O
高,O
程,O
点,O
（,O
六,O
洋,O
塘,O
顶,O
）,O
、,O
6,O
0,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
4,O
9,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
2,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
6,O
0,O
8,O
.,O
0,O
高,O
程,O
点,O
（,O
三,O
胎,O
头,O
）,O
、,O
5,O
3,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
4,O
7,O
6,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
5,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
9,O
0,O
.,O
5,O
高,O
程,O
点,O
（,O
梨,O
香,O
头,O
）,O
、,O
4,O
7,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
4,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
5,O
7,O
.,O
5,O
高,O
程,O
点,O
（,O
天,O
然,O
穴,O
）,O
、,O
3,O
6,O
8,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
5,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
1,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
8,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
2,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
6,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
8,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
8,O
2,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
8,O
4,O
7,O
.,O
3,O
高,O
程,O
点,O
（,O
鸡,O
冠,O
头,O
）,O
、,O
4,O
6,O
2,O
.,O
6,O
高,O
程,O
点,O
、,O
5,O
4,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
2,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
7,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
9,O
1,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
0,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
5,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
6,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
3,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
8,O
3,O
1,O
.,O
8,O
高,O
程,O
点,O
、,O
8,O
6,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
8,O
2,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
7,O
4,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
2,O
5,O
.,O
9,O
高,O
程,O
点,O
、,O
5,O
2,O
0,O
.,O
1,O
高,O
程,O
点,O
、,O
5,O
6,O
3,O
.,O
8,O
高,O
程,O
点,O
、,O
7,O
3,O
8,O
.,O
1,O
高,O
程,O
点,O
、,O
8,O
5,O
2,O
.,O
1,O
高,O
程,O
点,O
（,O
云,O
飞,O
嶂,O
）,O
、,O
8,O
0,O
9,O
.,O
2,O
高,O
程,O
点,O
、,O
7,O
6,O
1,O
.,O
2,O
高,O
程,O
点,O
、,O
6,O
2,O
1,O
.,O
3,O
高,O
程,O
点,O
、,O
5,O
7,O
9,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
1,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
8,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
1,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
4,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
2,O
8,O
.,O
1,O
高,O
程,O
点,O
、,O
1,O
8,O
2,O
.,O
0,O
高,O
程,O
点,O
（,O
山,O
塘,O
岭,O
）,O
、,O
2,O
1,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
7,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
2,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
9,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
5,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
8,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
2,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
3,O
1,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
8,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
9,O
6,O
.,O
3,O
高,O
程,O
点,O
、,O
2,O
2,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
3,O
0,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
3,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
9,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
5,O
3,O
.,O
8,O
高,O
程,O
点,O
、,O
2,O
2,O
6,O
.,O
3,O
高,O
程,O
点,O
、,O
1,O
8,O
7,O
.,O
6,O
高,O
程,O
点,O
、,O
2,O
6,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
2,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
2,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
9,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
7,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
6,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
4,O
9,O
.,O
4,O
高,O
程,O
点,O
、,O
2,O
3,O
9,O
.,O
4,O
高,O
程,O
点,O
、,O
2,O
6,O
3,O
.,O
8,O
高,O
程,O
点,O
、,O
2,O
6,O
6,O
.,O
9,O
高,O
程,O
点,O
、,O
2,O
9,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
3,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
5,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
2,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
8,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
1,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
9,O
5,O
.,O
6,O
高,O
程,O
点,O
、,O
1,O
7,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
6,O
.,O
9,O
高,O
程,O
点,O
、,O
1,O
2,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
8,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
8,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
8,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
3,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
4,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
7,O
0,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
3,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
4,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
4,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
3,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
4,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
4,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
2,O
1,O
.,O
5,O
高,O
程,O
点,O
（,O
过,O
滕,O
塘,O
）,O
、,O
1,O
1,O
8,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
4,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
4,O
6,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
8,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
4,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
0,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
0,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
1,O
3,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
1,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
4,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
1,O
9,O
.,O
0,O
高,O
程,O
点,O
（,O
天,O
堂,O
岭,O
）,O
、,O
1,O
7,O
6,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
8,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
9,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
7,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
3,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
6,O
2,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
8,O
8,O
.,O
5,O
高,O
程,O
点,O
（,O
鸡,O
儿,O
岭,O
）,O
、,O
2,O
0,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
2,O
4,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
2,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
2,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
1,O
1,O
9,O
.,O
0,O
高,O
程,O
点,O
（,O
米,O
塘,O
）,O
、,O
1,O
7,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
9,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
0,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
7,O
0,O
.,O
4,O
高,O
程,O
点,O
（,O
桐,O
油,O
大,O
岭,O
）,O
、,O
1,O
7,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
6,O
9,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
5,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
3,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
3,O
0,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
1,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
8,O
6,O
.,O
5,O
高,O
程,O
点,O
、,O
2,O
8,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
7,O
8,O
.,O
0,O
高,O
程,O
点,O
、,O
2,O
3,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
3,O
1,O
6,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
0,O
9,O
.,O
4,O
高,O
程,O
点,O
（,O
公,O
猪,O
脊,O
）,O
、,O
2,O
9,O
1,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
5,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
1,O
9,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
4,O
2,O
5,O
.,O
5,O
高,O
程,O
点,O
（,O
大,O
六,O
岭,O
）,O
、,O
2,O
7,O
9,O
.,O
7,O
高,O
程,O
点,O
、,O
4,O
6,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
1,O
9,O
.,O
0,O
高,O
程,O
点,O
（,O
立,O
石,O
岭,O
）,O
、,O
4,O
2,O
9,O
.,O
0,O
高,O
程,O
点,O
、,O
4,O
0,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
3,O
3,O
.,O
5,O
高,O
程,O
点,O
、,O
6,O
4,O
9,O
.,O
0,O
高,O
程,O
点,O
（,O
六,O
吉,O
顶,O
）,O
、,O
5,O
7,O
7,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
8,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
5,O
0,O
1,O
.,O
5,O
高,O
程,O
点,O
、,O
5,O
8,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
2,O
2,O
.,O
0,O
高,O
程,O
点,O
、,O
7,O
0,O
0,O
.,O
5,O
高,O
程,O
点,O
、,O
4,O
3,O
9,O
.,O
5,O
高,O
程,O
点,O
、,O
3,O
7,O
8,O
.,O
9,O
高,O
程,O
点,O
、,O
3,O
1,O
5,O
.,O
2,O
高,O
程,O
点,O
、,O
4,O
0,O
1,O
.,O
9,O
高,O
程,O
点,O
、,O
5,O
3,O
8,O
.,O
1,O
高,O
程,O
点,O
、,O
5,O
4,O
3,O
.,O
3,O
高,O
程,O
点,O
、,O
7,O
1,O
7,O
.,O
0,O
高,O
程,O
点,O
、,O
6,O
6,O
4,O
.,O
5,O
高,O
程,O
点,O
、,O
6,O
5,O
1,O
.,O
5,O
高,O
程,O
点,O
至,O
6,O
7,O
6,O
.,O
5,O
高,O
程,O
点,O
（,O
五,O
方,O
顶,O
）,O
止,O
。,O
附,O
件,O
2,O
广,B_ORG
西,I_ORG
壮,I_ORG
族,I_ORG
自,I_ORG
治,I_ORG
区,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
关,O
于,O
同,O
意,O
申,O
报,O
设,O
立,O
玉,B_ORG
林,I_ORG
保,I_ORG
税,I_ORG
物,I_ORG
流,I_ORG
中,I_ORG
心,I_ORG
（,O
B,O
型,O
）,O
的,O
批,O
复,O
（,O
桂,O
政,O
函,O
〔,O
2,O
0,O
2,O
1,O
〕,O
9,O
7,O
号,O
）,O
玉,B_ORG
林,I_ORG
市,I_ORG
人,I_ORG
民,I_ORG
政,I_ORG
府,I_ORG
：,O
你,O
市,O
关,O
于,O
设,O
立,O
玉,O
林,O
保,O
税,O
物,O
流,O
中,O
心,O
（,O
B,O
型,O
）,O
的,O
请,O
示,O
收,O
悉,O
。,O
现,O
批,O
复,O
如,O
下,O
：,O
同,O
意,O
你,O
市,O
以,O
广,O
西,O
铜,O
州,O
控,O
股,O
有,O
限,O
公,O
司,O
为,O
项,O
目,O
业,O
主,O
，,O
申,O
报,O
设,O
立,O
玉,B_ORG
林,I_ORG
保,I_ORG
税,I_ORG
物,I_ORG
流,I_ORG
中,I_ORG
心,I_ORG
（,O
B,O
型,O
）,O
。,O
该,O
中,O
心,O
选,O
址,O
位,O
于,O
北,B_LOC
流,I_LOC
市,I_LOC
塘,I_LOC
岸,I_LOC
镇,I_LOC
北,I_LOC
侧,I_LOC
广,I_LOC
西,I_LOC
（,I_LOC
北,I_LOC
流,I_LOC
）,I_LOC
轻,I_LOC
工,I_LOC
产,I_LOC
业,I_LOC
园,I_LOC
